コード,純利益,純資産
7067,76951000.0,1185006000.0
7590,198619000.0,12724946000.0
4069,-17143000.0,2518602000.0
9994,,35255000000.0
3848,268283000.0,4775902000.0
6156,,8188453000.0
1514,4195000000.0,28024000000.0
7087,710000000.0,8074000000.0
6926,,7068919000.0
3159,3334000000.0,54429000000.0
6230,1254463000.0,14201146000.0
2831,2459725000.0,41385778000.0
7305,2128000000.0,31114000000.0
6157,1264700000.0,18415889000.0
1960,1748000000.0,30466000000.0
6898,123761000.0,3981570000.0
3913,203898000.0,1390466000.0
3559,112531000.0,1378098000.0
6291,1131475000.0,14771502000.0
3627,-140530000.0,6124219000.0
9441,4128557000.0,26950786000.0
4883,-2152710000.0,2793304000.0
9780,860267000.0,9194726000.0
4247,80503000.0,5706297000.0
5939,369163000.0,4077115000.0
6863,1562563000.0,16652751000.0
4270,452943000.0,3057593000.0
7477,90954000.0,2691173000.0
3355,3944354000.0,49215010000.0
6286,1045444000.0,15948952000.0
3529,,31663000000.0
1828,2593138000.0,24980783000.0
5619,-23005000.0,1948984000.0
4287,508199000.0,3926937000.0
5982,5216826000.0,52292831000.0
2185,2149675000.0,21586778000.0
8018,2108000000.0,50832000000.0
6322,1217452000.0,10298075000.0
9344,321000000.0,3324000000.0
3825,,17910000000.0
4265,-336333000.0,678817000.0
6125,2024000000.0,40562000000.0
1914,1439806000.0,22953265000.0
7713,986017000.0,17667721000.0
3698,420710000.0,4055237000.0
6912,,14062390000.0
7079,912899000.0,4296024000.0
3421,,43570031000.0
8085,2241000000.0,26136000000.0
8029,1474000000.0,40455000000.0
4434,677331000.0,11460428000.0
4767,1132201000.0,9892003000.0
7807,616203000.0,2919624000.0
5576,,5113809000.0
4376,-2347000000.0,8005000000.0
4978,,8984946000.0
4752,714133000.0,5342675000.0
5237,1156714000.0,20665719000.0
4524,547000000.0,12152000000.0
3940,403659000.0,3525880000.0
6336,890000000.0,10643000000.0
2612,2357000000.0,35265000000.0
3841,213428000.0,3594265000.0
7254,2948112000.0,26637881000.0
4372,362640000.0,3000428000.0
9651,1478151000.0,11088904000.0
9258,-102199000.0,2216999000.0
3768,-49599000.0,5887412000.0
3624,-763131000.0,804711000.0
6824,,47653761000.0
6239,970374000.0,7507775000.0
8918,,8902902000.0
6493,630206000.0,29028915000.0
4240,100655000.0,1651709000.0
6082,,8027488000.0
9345,197144000.0,1909034000.0
5356,,14507588000.0
6989,2194000000.0,22712000000.0
4840,-423105000.0,4362682000.0
3020,1767000000.0,11840000000.0
7114,142798000.0,2292301000.0
4998,1462000000.0,25255000000.0
9476,245313000.0,4353747000.0
5950,-30189000.0,2300878000.0
6998,,12561000000.0
9376,113905000.0,1844340000.0
3461,122479000.0,2420750000.0
6874,2138124000.0,20123008000.0
7050,876068000.0,8950152000.0
4172,448093000.0,4196082000.0
6137,3633000000.0,42554000000.0
2415,,18096086000.0
4394,127466000.0,1669870000.0
1966,2309002000.0,20276404000.0
5990,-238413000.0,10276141000.0
1450,1576283000.0,8223072000.0
8887,-657912000.0,11066027000.0
4017,,1105435000.0
4093,,18304218000.0
1787,1047212000.0,8730632000.0
5273,10175000000.0,88580000000.0
3965,401823000.0,3786199000.0
2750,888108000.0,12232423000.0
6635,208833000.0,6944679000.0
4378,-152586000.0,1055757000.0
5138,362919000.0,1380255000.0
2186,460210000.0,4537350000.0
2493,146761000.0,3707858000.0
3490,,2958165000.0
2722,321372000.0,2388001000.0
7222,3033000000.0,176559000000.0
8927,1893734000.0,9526602000.0
3598,90042000.0,4257487000.0
3059,-771903000.0,6482410000.0
5018,1525000000.0,23477000000.0
6662,,1976067000.0
6307,346003000.0,4677341000.0
6888,,3363238000.0
9856,6529000000.0,67970000000.0
1967,3932952000.0,41151907000.0
2122,206005000.0,5636153000.0
9709,2109184000.0,14226599000.0
2916,,11844767000.0
1382,24712000.0,756208000.0
1992,431625000.0,6115618000.0
4178,23971000.0,1609715000.0
7803,3418196000.0,24187174000.0
7863,311887000.0,4142725000.0
7927,1510598000.0,18374660000.0
2152,,10278445000.0
6677,2731041000.0,34590925000.0
4977,,20690000000.0
6663,136695000.0,2669022000.0
6932,,44050000000.0
9225,147560000.0,1146995000.0
6198,-150151000.0,1833821000.0
6466,597568000.0,11944055000.0
7673,816342000.0,8411979000.0
4882,-904800000.0,1432407000.0
