コード,銘柄名,業種33,規模,新業種,method
4299,ハイマックス,情報・通信業,TOPIX Small 2,,
6804,ホシデン,電気機器,TOPIX Small 1,,
3434,アルファＣｏ,金属製品,-,金属製品・金属加工,rule
248A,キッズスター,情報・通信業,-,,
1826,佐田建設,建設業,-,,
6382,トリニティ工業,機械,-,,
8572,アコム,その他金融業,TOPIX Mid400,証券・保険・その他金融,rule
9625,セレスポ,サービス業,-,,
4936,アクシージア,化学,TOPIX Small 2,,
6494,ＮＦＫホールディングス,機械,-,,
7689,コパ・コーポレーション,卸売業,-,,
2735,ワッツ,小売業,-,,
6229,オーケーエム,機械,-,,
2425,ケアサービス,サービス業,-,,
6882,三社電機製作所,電気機器,-,,
9845,パーカーコーポレーション,化学,-,,
7952,河合楽器製作所,その他製品,TOPIX Small 2,,
6894,パルステック工業,電気機器,-,,
7607,進和,卸売業,TOPIX Small 2,,
1770,藤田エンジニアリング,建設業,-,,
6488,ヨシタケ,機械,-,,
4120,スガイ化学工業,化学,-,,
6647,森尾電機,電気機器,-,,
7847,グラファイトデザイン,その他製品,-,,
9253,スローガン,サービス業,-,,
3291,飯田グループホールディングス,不動産業,TOPIX Mid400,,
167A,リョーサン菱洋ホールディングス,卸売業,TOPIX Small 1,,
7487,小津産業,卸売業,-,,
8622,水戸証券,証券、商品先物取引業,TOPIX Small 2,証券・保険・その他金融,rule
5129,ＦＩＸＥＲ,情報・通信業,-,,
5218,オハラ,ガラス・土石製品,TOPIX Small 2,ガラス・セラミックス・ゴム,rule
3816,大和コンピューター,情報・通信業,-,,
7128,ユニソルホールディングス,卸売業,TOPIX Small 1,,
7510,たけびし,卸売業,TOPIX Small 2,,
1866,北野建設,建設業,-,,
8616,東海東京フィナンシャル・ホールディングス,証券、商品先物取引業,TOPIX Small 1,証券・保険・その他金融,rule
3139,ラクト・ジャパン,卸売業,TOPIX Small 2,,
220A,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,情報・通信業,-,,
9475,昭文社ホールディングス,情報・通信業,-,,
4761,さくらケーシーエス,情報・通信業,-,,
3435,サンコーテクノ,金属製品,-,金属製品・金属加工,rule
8705,日産証券グループ,証券、商品先物取引業,-,証券・保険・その他金融,rule
1798,守谷商会,建設業,-,,
5449,大阪製鐵,鉄鋼,TOPIX Small 2,鉄鋼・非鉄金属,rule
1879,新日本建設,建設業,TOPIX Small 2,,
4534,持田製薬,医薬品,TOPIX Small 2,医薬品・バイオ,rule
2009,鳥越製粉,食料品,-,,
6338,タカトリ,機械,-,,
5461,中部鋼鈑,鉄鋼,TOPIX Small 1,鉄鋼・非鉄金属,rule
6104,芝浦機械,機械,TOPIX Small 1,,
2693,ＹＫＴ,卸売業,-,,
7185,ヒロセ通商,証券、商品先物取引業,-,証券・保険・その他金融,rule
7946,光陽社,その他製品,-,,
4547,キッセイ薬品工業,医薬品,TOPIX Small 1,医薬品・バイオ,rule
6832,アオイ電子,電気機器,-,,
7313,テイ・エス　テック,輸送用機器,TOPIX Mid400,自動車・輸送用機器,rule
1847,イチケン,建設業,-,,
2483,翻訳センター,サービス業,-,,
1867,植木組,建設業,-,,
7228,デイトナ,輸送用機器,-,自動車・輸送用機器,rule
4406,新日本理化,化学,-,,
6265,コンバム,機械,-,,
9996,サトー商会,卸売業,-,,
9339,コーチ・エィ,サービス業,-,,
1811,錢高組,建設業,-,,
8041,ＯＵＧホールディングス,卸売業,-,,
5458,高砂鐵工,鉄鋼,-,鉄鋼・非鉄金属,rule
9908,日本電計,卸売業,-,,
7567,栄電子,卸売業,-,,
6030,アドベンチャー,サービス業,-,,
9755,応用地質,サービス業,TOPIX Small 2,,
5189,櫻護謨,ゴム製品,-,ガラス・セラミックス・ゴム,rule
8101,ＧＳＩクレオス,卸売業,TOPIX Small 2,,
2108,日本甜菜製糖,食料品,TOPIX Small 2,,
4918,アイビー化粧品,化学,-,,
3512,日本フエルト,繊維製品,-,繊維・紙パルプ,rule
3089,テクノアルファ,卸売業,-,,
5976,高周波熱錬,金属製品,TOPIX Small 2,金属製品・金属加工,rule
1430,ファーストコーポレーション,建設業,-,,
8871,ゴールドクレスト,不動産業,TOPIX Small 1,,
6706,電気興業,電気機器,TOPIX Small 2,,
1716,第一カッター興業,建設業,TOPIX Small 2,,
3766,システムズ・デザイン,情報・通信業,-,,
